
 INFO Server running on [http://127.0.0.1:8001]. 

 Press Ctrl+C to stop the server
 2026-08-27 16:38:57 /build/assets/dist-DYpAiMua.js .. ~ 1.31ms
 2026-08-27 16:38:57 /build/assets/es2015-BuDVKjBt.js .. ~ 0.04ms
 2026-08-27 16:38:57 /build/assets/createLucideIcon-DmbgV8gS.js .. ~ 0.32ms
 2026-08-27 16:38:57 /build/assets/wayfinder-DZh1HhRB.js .. ~ 0.06ms
 2026-08-27 16:38:57 /build/assets/app-DolNItQx.js .. ~ 0.36ms
 2026-08-27 16:38:57 /build/assets/validation-CE1VJZsf.js .. ~ 0.09ms
 2026-08-27 16:38:57 /build/assets/weighing-BMCW3w70.js .. ~ 0.33ms
 2026-08-27 16:38:57 /build/assets/attachments-CJgRV7Us.js .. ~ 0.59ms
 2026-08-27 16:38:57 /build/assets/review-BlEntY1K.js .. ~ 0.83ms
 2026-08-27 16:38:57 /build/assets/report-BP4HFjM6.js .. ~ 1.12ms
 2026-08-27 16:38:57 /build/assets/dashboard-DfOmZYM6.js .. ~ 1.38ms
 2026-08-27 16:38:58 /build/assets/card-BYCv6fNN.js .. ~ 0.18ms
 2026-08-27 16:38:58 /build/assets/list-checks-ivbD5vCG.js .. ~ 0.58ms
 2026-08-27 16:38:58 /build/assets/label-CZXitPCt.js .. ~ 0.82ms
 2026-08-27 16:38:58 /build/assets/trial-status-D3UwhyRl.js .. ~ 1.09ms
 2026-08-27 16:38:58 /build/assets/trials-table-B3wlxuJG.js .. ~ 1.34ms
 2026-08-27 16:38:58 /build/assets/pagination-footer-DKvBHcl9.js .. ~ 1.58ms
 2026-08-27 16:38:58 /build/assets/table-BuUfoXgb.js .. ~ 0.04ms
 2026-08-27 16:38:58 /build/assets/badge-Df5YAb2T.js .. ~ 0.32ms
 2026-08-27 16:38:58 /build/assets/button-Gg-Ut9h1.js .. ~ 0.15ms
 2026-08-27 16:38:58 /build/assets/dist-C4E0F_Zx.js .. ~ 0.41ms
 2026-08-27 16:38:58 /build/assets/utils-CCDJ05Ll.js .. ~ 0.60ms
 2026-08-27 16:38:58 /build/assets/dist-DYpAiMua.js .. ~ 0.77ms
 2026-08-27 16:38:58 /build/assets/es2015-BuDVKjBt.js .. ~ 0.95ms
 2026-08-27 16:38:58 /build/assets/createLucideIcon-DmbgV8gS.js .. ~ 1.13ms
 2026-08-27 16:38:58 /build/assets/instrument-sans-400-normal-D1W7dsQl.woff .. ~ 0.03ms
 2026-08-27 16:38:58 /build/assets/instrument-sans-600-normal-B9e8oLYv.woff .. ~ 0.27ms
 2026-08-27 16:38:58 /build/assets/instrument-sans-500-normal-Z6ESRlEs.woff .. ~ 0.40ms
 2026-08-27 16:38:58 /build/assets/validation-CE1VJZsf.js .. ~ 0.05ms
 2026-08-27 16:38:58 /build/assets/weighing-BMCW3w70.js .. ~ 0.19ms
 2026-08-27 16:38:58 /build/assets/attachments-CJgRV7Us.js .. ~ 0.34ms
 2026-08-27 16:38:58 /build/assets/review-BlEntY1K.js .. ~ 0.47ms
 2026-08-27 16:38:59 /build/assets/dashboard-DfOmZYM6.js .. ~ 0.61ms
 2026-08-27 16:38:58 /build/assets/report-BP4HFjM6.js .. ~ 0.76ms
 2026-08-27 16:38:59 /build/assets/list-checks-ivbD5vCG.js .. ~ 0.14ms
 2026-08-27 16:38:59 /build/assets/card-BYCv6fNN.js .. ~ 0.81ms
 2026-08-27 16:38:59 /build/assets/label-CZXitPCt.js .. ~ 0.08ms
 2026-08-27 16:38:59 /build/assets/trial-status-D3UwhyRl.js .. ~ 0.37ms
 2026-08-27 16:38:59 /build/assets/trials-table-B3wlxuJG.js .. ~ 0.61ms
 2026-08-27 16:38:59 /build/assets/pagination-footer-DKvBHcl9.js .. ~ 0.97ms
 2026-08-27 16:38:59 /build/assets/badge-Df5YAb2T.js .. ~ 0.20ms
 2026-08-27 16:38:59 /build/assets/table-BuUfoXgb.js .. ~ 0.57ms
 2026-08-27 16:38:59 /approvals .. ~ 24s
 2026-08-27 16:39:24 /build/assets/TrialReportController-GjletRPT.js .. ~ 0.14ms
 2026-08-27 16:39:24 /build/assets/approvals-C55FOw6i.js .. ~ 0.47ms
 2026-08-27 16:39:24 /build/assets/TrialReportController-GjletRPT.js .. ~ 0.19ms
